,,"????????????12????????? [Percentage of EPU articles that discuss specific policy matters, 12-month centered moving average]",,,,,
?,?,????,????,????,????,,
Year,Month,Fiscal Policy,Monetary Policy,Trade Policy,Exchange Rate Policy,,
2021,2,52.15754684,17.12955961,6.937046057,0.41667575,,
2021,3,51.63609369,16.89111409,6.567175389,0.414046517,,
2021,4,51.45981461,16.84177562,6.318510767,0.456089971,,
2021,5,51.08667747,17.04405001,5.92770085,0.482255801,,
2021,6,50.54735309,17.48860338,5.422150173,0.463079541,,
2021,7,50.53174013,18.10866751,4.846191921,0.450824047,,
2021,8,50.1191067,18.38213736,4.426222483,0.428646539,,
2021,9,49.24346742,18.66105988,4.328478416,0.482609124,,
2021,10,49.24974659,19.52117776,4.059118635,0.651386705,,
2021,11,49.83754156,20.66899299,3.960796723,0.754236611,,
2021,12,50.44717095,21.90253984,4.193088959,0.842728366,,
2022,1,51.14543895,22.95888612,4.284231047,0.941661552,,
